³¯Â¥,S&P 500,FTSE
2003.5.21,0.00401498,-0.008902436
2003.5.22,0.009163003,0.013624876
2003.5.23,0.001394027,-0.00265991
2003.5.27,0.019420147,0.003160987
2003.5.28,0.001785058,0.019717167
2003.5.29,-0.003783902,0.002869231
2003.5.30,0.014635427,-0.008731317
2003.6.2,0.003522225,0.019860266
2003.6.3,0.004745702,-0.003298972
2003.6.4,0.014914977,0.002644894
2003.6.5,0.003946774,-0.005418619
2003.6.6,-0.0023257,0.011265882
2003.6.9,-0.012120126,-0.005241621
2003.6.10,0.009078453,-0.003906776
2003.6.11,0.012813574,0.008979741
2003.6.12,0.001002004,0.002695095
2003.6.13,-0.009964352,-0.006557875
2003.6.16,0.022108638,0.004537235
2003.6.17,0.000988924,0.008989309
2003.6.18,-0.001582748,0.00395361
2003.6.19,-0.015363431,-0.018109267
2003.6.20,0.001004823,0.006898575
2003.6.23,-0.014262114,-0.017507722
2003.6.24,0.001933744,-0.006626767
2003.6.25,-0.008372522,0.001722272
2003.6.26,0.010708378,-0.0064615
2003.6.27,-0.009786011,0.006436917
2003.6.30,-0.001742965,-0.009038214
2003.7.1,0.007972242,-0.016835709
2003.7.2,0.011639218,0.010789486
2003.7.3,-0.00818393,0.004457345
2003.7.7,0.018793579,0.013166698
2003.7.8,0.003379389,-0.000294536
2003.7.9,-0.005572154,-0.004650427
2003.7.10,-0.013561914,-0.006408137
2003.7.11,0.009462523,0.007246319
2003.7.14,0.005794222,0.01698124
2003.7.15,-0.003492495,-0.00609958
2003.7.16,-0.006417992,-0.006210593
2003.7.17,-0.012451444,-0.005040767
2003.7.18,0.011746971,0.004083747
2003.7.21,-0.014705402,-0.007120449
2003.7.22,0.009456576,0.008714974
2003.7.23,0.000505894,0.001665402
2003.7.24,-0.007105907,0.015323086
2003.7.25,0.01727054,-0.004444022
2003.7.28,-0.002205294,0.004251214
2003.7.29,-0.007251517,-0.002848248
2003.7.30,-0.001821126,0.001014713
2003.7.31,0.002831431,0.003808059
2003.8.1,-0.01035332,-0.014197007
2003.8.4,0.002751033,0.00041471
2003.8.5,-0.017759539,0.005084489
2003.8.6,0.001655801,-0.012354578
2003.8.7,0.007212065,0.006171952
2003.8.8,0.003586621,0.012664846
2003.8.11,0.003064041,0.006943388
2003.8.12,0.009944273,0.002128602
2003.8.13,-0.006483005,-0.001171366
2003.8.14,0.006583969,0.01356557
2003.8.15,0.002729066,0.00223922
2003.8.18,0.00904347,0.005822023
2003.8.19,0.00269717,-0.004998309
2003.8.20,-0.00209717,-0.007888376
2003.8.21,0.002994612,0.001445344
2003.8.22,-0.010218482,0.000568088
2003.8.26,0.003014472,-0.011543212
2003.8.27,0.000100326,0.006918132
2003.8.28,0.006001218,-0.001998954
2003.8.29,0.005172082,-0.008828759
2003.9.2,0.013793322,0
2003.9.3,0.00419861,0.013630401
2003.9.4,0.001655065,-0.003125406
2003.9.5,-0.006440932,0.001975077
2003.9.8,0.00993676,0.008164456
2003.9.9,-0.008176024,-0.006591889
2003.9.10,-0.012093948,-0.002771256
2003.9.11,0.005425949,-0.002330976
2003.9.12,0.002162163,-0.001037736
2003.9.15,-0.003737587,0.005436139
2003.9.16,0.014187411,0.008902032
2003.9.17,-0.003211213,-0.001396648
2003.9.18,0.013168277,0.005042008
2003.9.19,-0.003179347,-0.01346311
2003.9.22,-0.013112713,-0.006788316
2003.9.23,0.006043492,-0.00153848
2003.9.24,-0.019231362,0.003475961
2003.9.25,-0.006061528,-0.008105654
2003.9.26,-0.006399382,-0.010790482
2003.9.29,0.00968313,-0.003469967
2003.9.30,-0.010586337,-0.012484981
2003.10.1,0.022044384,0.018861403
2003.10.2,0.001962324,0.009524677
2003.10.3,0.009365922,0.015301309
2003.10.6,0.004360261,-0.000912911
2003.10.7,0.004726317,0.000444855
2003.10.8,-0.005209853,-0.000796197
2003.10.9,0.004728597,0.010556463
2003.10.10,-0.000577812,-0.000672472
2003.10.13,0.006911806,0.011829545
2003.10.14,0.004009935,-0.006485465
2003.10.15,-0.002575969,0.007974396
2003.10.16,0.003147506,-0.006683151
2003.10.17,-0.010337988,0.000990361
2003.10.20,0.005182353,0.000805385
2003.10.21,0.001243603,0.001103474
2003.10.22,-0.015026289,-0.015443875
2003.10.23,0.003294257,-0.010650128
2003.10.24,-0.004751063,-0.000283046
2003.10.27,0.002135923,0.002897426
2003.10.28,0.015111698,0.005067935
2003.10.29,0.00124111,-0.00168646
