³¯Â¥,S&P 500,CAC
2003.2.21,0.013172919,0.017497322
2003.2.24,-0.018563122,-0.017106618
2003.2.25,0.0071805,-0.023150033
2003.2.26,-0.013324727,-0.024178228
2003.2.27,0.011773322,0.022388995
2003.2.28,0.00452813,0.014293811
2003.3.3,-0.007518384,-0.005074313
2003.3.4,-0.01545178,-0.014842573
2003.3.5,0.009564817,0.002261592
2003.3.6,-0.009443169,-0.013240216
2003.3.7,0.008237478,-0.007733991
2003.3.10,-0.026156466,-0.015406191
2003.3.11,-0.00845671,-0.00200441
2003.3.12,0.004361649,-0.039572775
2003.3.13,0.033864247,0.034964381
2003.3.14,0.00168148,0.037387532
2003.3.17,0.034789193,0.069271138
2003.3.18,0.004279195,-0.015349222
2003.3.19,0.008618266,0.011737641
2003.3.20,0.001943191,-0.007163354
2003.3.21,0.022579419,0.020337307
2003.3.24,-0.03591295,-0.035634506
2003.3.25,0.012076747,0.028703151
2003.3.26,-0.005387759,-0.002872533
2003.3.27,-0.001725626,-0.016129382
2003.3.28,-0.005773688,0.002203453
2003.3.31,-0.017877441,-0.016717715
2003.4.1,0.012070223,-0.001140901
2003.4.2,0.025757432,0.020999114
2003.4.3,-0.005007408,0.009406726
2003.4.4,0.002734421,0.019597991
2003.4.7,0.001137139,0.007888911
2003.4.8,-0.001820044,-0.004492836
2003.4.9,-0.014103312,0.013282264
2003.4.10,0.006445695,-0.008882631
2003.4.11,-0.003793326,0.00672688
2003.4.14,0.019276331,0.012953096
2003.4.15,0.006306327,-0.000684697
2003.4.16,-0.012311671,-0.031802988
2003.4.17,0.015449983,0.009718924
2003.4.22,0.021515746,0
2003.4.23,0.008304244,-0.002697237
2003.4.24,-0.008304244,-0.012669233
2003.4.25,-0.013921339,-0.016254897
2003.4.28,0.017644922,0.030602354
2003.4.29,0.00327404,-0.013477293
2003.4.30,-0.000981087,0.000338926
2003.5.2,0.014948285,0.005738412
2003.5.5,-0.003878062,-0.000333056
2003.5.6,0.008490566,0.021754319
2003.5.7,-0.005150226,-0.006559551
2003.5.8,-0.010054682,-0.024097552
2003.5.9,0.01413413,0.008094479
2003.5.12,0.012456908,-0.011035056
2003.5.13,-0.002967047,-0.005696112
2003.5.14,-0.003188778,0.002018164
2003.5.15,0.007847336,0.013691982
2003.5.16,0.000741565,-0.001323627
2003.5.19,-0.025201055,-0.031953772
2003.5.20,-0.001195327,0.003800316
2003.5.21,0.00401498,-0.000344531
2003.5.22,0.009163003,0.005809003
2003.5.23,0.001394027,-0.010211117
2003.5.27,0.019420147,0.009267271
2003.5.28,0.001785058,0.002682765
2003.5.29,-0.003783902,0.01342302
2003.5.30,0.014635427,0.018318581
2003.6.2,0.003522225,0.006181897
2003.6.3,0.004745702,0.009794398
2003.6.4,0.014914977,0.005504304
2003.6.5,0.003946774,-0.014877377
2003.6.6,-0.0023257,0.009627802
2003.6.9,-0.012120126,-0.004830149
2003.6.10,0.009078453,0.013518069
2003.6.11,0.012813574,0.004753614
2003.6.12,0.001002004,0.003129893
2003.6.13,-0.009964352,-0.012258522
2003.6.16,0.022108638,0.02611443
2003.6.17,0.000988924,-0.003074088
2003.6.18,-0.001582748,0.003989571
2003.6.19,-0.015363431,-0.015418128
2003.6.20,0.001004823,0.013664809
2003.6.23,-0.014262114,-0.02029734
2003.6.24,0.001933744,-0.004424786
2003.6.25,-0.008372522,-0.004731124
2003.6.26,0.010708378,0.010171734
2003.6.27,-0.009786011,-0.003470582
2003.6.30,-0.001742965,-0.005728851
2003.7.1,0.007972242,-0.027971603
2003.7.2,0.011639218,0.005439143
2003.7.3,-0.00818393,-0.002226818
2003.7.7,0.018793579,0.0234569
2003.7.8,0.003379389,0.001549187
2003.7.9,-0.005572154,-0.012121361
2003.7.10,-0.013561914,-0.009472758
2003.7.11,0.009462523,0.01738075
2003.7.14,0.005794222,0.013973213
2003.7.15,-0.003492495,-0.001239158
2003.7.16,-0.006417992,-0.010546003
2003.7.17,-0.012451444,-0.005020406
2003.7.18,0.011746971,-0.00313972
2003.7.21,-0.014705402,-0.024926358
2003.7.22,0.009456576,0.002543722
2003.7.23,0.000505894,-0.007611835
2003.7.24,-0.007105907,0.019840046
2003.7.25,0.01727054,-0.005367022
2003.7.28,-0.002205294,0.005614488
2003.7.29,-0.007251517,-0.007172961
2003.7.30,-0.001821126,0.010598603
2003.7.31,0.002831431,0.008303907
2003.8.1,-0.01035332,-0.010794245
2003.8.4,0.002751033,-0.004368182
2003.8.5,-0.017759539,0.010218389
2003.8.6,0.001655801,-0.004387346
2003.8.7,0.007212065,-0.005635582
2003.8.8,0.003586621,0.007483664
2003.8.11,0.003064041,0.003090237
2003.8.12,0.009944273,0.003379939
2003.8.13,-0.006483005,-0.003369585
2003.8.14,0.006583969,0.013990496
2003.8.15,0.002729066,0.003915078
2003.8.18,0.00904347,0.001794259
2003.8.19,0.00269717,-0.004162956
2003.8.20,-0.00209717,-0.004786129
2003.8.21,0.002994612,0.001789443
2003.8.22,-0.010218482,0.006834078
2003.8.25,0.000603986,-0.004175371
2003.8.26,0.003014472,-0.01498829
2003.8.27,0.000100326,0.000900495
2003.8.28,0.006001218,0.012215257
2003.8.29,0.005172082,-0.005922434
2003.9.2,0.013793322,-0.000585309
2003.9.3,0.00419861,0.006358403
2003.9.4,0.001655065,-0.000577868
2003.9.5,-0.006440932,-0.008683123
2003.9.8,0.00993676,0.005884101
2003.9.9,-0.008176024,-0.015289919
2003.9.10,-0.012093948,-0.010465038
2003.9.11,0.005425949,0.012012156
2003.9.12,0.002162163,-0.011678528
2003.9.15,-0.003737587,0.000299177
2003.9.16,0.014187411,0.009211178
2003.9.17,-0.003211213,-0.00763811
2003.9.18,0.013168277,0.009707386
2003.9.19,-0.003179347,-0.01266772
2003.9.22,-0.013112713,-0.017539004
2003.9.23,0.006043492,-0.009143617
2003.9.24,-0.019231362,-0.006413215
2003.9.25,-0.006061528,0.003095019
2003.9.26,-0.006399382,-0.000933271
2003.9.29,0.00968313,-0.007497692
2003.9.30,-0.010586337,-0.020521636
2003.10.1,0.022044384,0.012923742
2003.10.2,0.001962324,-0.0105953
2003.10.3,0.009365922,0.028951822
2003.10.6,0.004360261,-0.004264399
2003.10.7,0.004726317,-0.010682232
2003.10.8,-0.005209853,0.002773927
2003.10.9,0.004728597,0.020638062
2003.10.10,-0.000577812,-0.00241546
2003.10.13,0.006911806,0.012884073
2003.10.14,0.004009935,-0.009238629
2003.10.15,-0.002575969,0
2003.10.16,0.003147506,-0.000595593
2003.10.17,-0.010337988,-0.008923319
2003.10.20,0.005182353,0.006872879
2003.10.21,0.001243603,-0.006226855
2003.10.22,-0.015026289,-0.017407402
2003.10.23,0.003294257,0.010155496
2003.10.24,-0.004751063,-0.000612933
2003.10.27,0.002135923,0.005466154
2003.10.28,0.015111698,0.009296813
2003.10.29,0.00124111,-0.00474075
2003.10.30,-0.001145585,0.00325685
2003.10.31,0.003623192,0.0014839
2003.11.3,0.007868458,0.01615544
2003.11.4,-0.005491918,-0.000291843
2003.11.5,-0.001330166,-0.00500369
2003.11.6,0.005877351,0.002642009
