³¯Â¥,S&P 500,KOSPI
2001.10.23,-0.008353654,-0.00597645
2001.10.24,0,0.0164976
2001.10.25,0.02522225,-0.001179702
2001.10.26,0.007633625,-0.003196887
2001.10.29,-0.019742618,-0.000638634
2001.10.30,-0.017305516,-0.009544654
2001.10.31,-0.006208279,0.013628831
2001.11.1,0.019560981,0.006379548
2001.11.2,0.006181687,0.004697067
2001.11.5,0.014246816,0.010740857
2001.11.6,0.01449366,-0.003319153
2001.11.7,-0.002774423,-0.008856983
2001.11.8,0.002416866,0.014448426
2001.11.9,0.002412978,0.002864958
2001.11.12,0.005020181,0.004750521
2001.11.13,0.018428802,0.013610538
2001.11.14,-0.004459024,0.019440064
2001.11.15,0.000875887,0.007198859
2001.11.16,-0.003068966,0.008499217
2001.11.19,0.00627453,0.02531658
2001.11.20,-0.005498116,-0.023475783
2001.11.21,-0.002810471,0.009091491
2001.11.23,0.011629563,0.027865361
2001.11.26,0.006153332,0.029303261
2001.11.27,-0.002259299,-0.006707791
2001.11.28,-0.012854553,-0.046314305
2001.11.29,0.008101488,0.007469868
2001.11.30,-0.000438693,-0.00269868
2001.12.3,-0.008460436,0.01089428
2001.12.4,0.009037924,0.002141081
2001.12.5,0.016281533,0.036740608
2001.12.6,-0.000856458,-0.029349082
2001.12.7,-0.003619446,0.018813195
2001.12.10,-0.010906185,-0.047581103
2001.12.11,-0.002723241,0.015520976
2001.12.12,-0.001932877,0.021388493
2001.12.13,-0.007298653,-0.008653094
2001.12.14,0.004640794,-0.002687306
2001.12.17,0.010011158,-0.019869771
2001.12.18,0.007465015,-0.01878907
2001.12.19,0.011636686,-0.009015723
2001.12.20,-0.007864424,0.023155067
2001.12.21,0.004376758,-0.011090573
2001.12.24,-0.000262043,-0.001916213
2001.12.26,0.004097473,0.005582408
2001.12.27,0.006676808,0.027662016
2001.12.28,0.003364828,0.019623315
2002.1.2,0.004948571,0.037883584
2002.1.3,0.008445414,0.001237607
2002.1.4,0.001194743,0.004369453
2002.1.7,-0.008377549,0.003919953
2002.1.8,-0.003955293,-0.016802355
2002.1.9,-0.007503593,0.025918067
2002.1.10,0.001904103,-0.026037102
2002.1.11,-0.011197548,-0.013586887
2002.1.14,-0.004032617,0.030846003
2002.1.15,0.004722352,-0.019212013
2002.1.16,-0.010234781,-0.00997888
2002.1.17,0.002813683,0.014214068
2002.1.18,8.87E-05,-0.006864468
2002.1.22,-0.014193443,0.00374825
2002.1.23,0.005332398,0.036797646
2002.1.24,-0.001059322,0.010760996
2002.1.25,0.003535759,0.006696092
2002.1.28,-0.002820131,-0.009452264
2002.1.29,-0.029719337,-0.00828567
2002.1.30,0.012106029,0.000894389
2002.1.31,0.01103214,-0.017294476
2002.2.1,-0.004623052,-0.019540599
